"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"184520","occ","5473","","18086","Plesiosorex","genus","40440","Hemphillian","","10.3","4.9","6294"
"184521","occ","11114","","18086","Crusafontina magna","species","44116","Hemphillian","","10.3","4.9","11139"
"184522","occ","","","18086","Sorex edwardsi","species","51641","Hemphillian","","10.3","4.9","3510"
"184535","occ","","","18086","Borophagus","genus","41196","Hemphillian","","10.3","4.9","3558"
"184536","occ","5476","","18086","Epicyon haydeni","species","44847","Hemphillian","","10.3","4.9","6294"
"184537","occ","30166","","18086","Vulpes stenognathus","species","52688","Hemphillian","","10.3","4.9","52058"
"184538","occ","","","18086","Indarctos oregonensis","species","47360","Hemphillian","","10.3","4.9","3510"
"184539","occ","","","18086","Martes","genus","41126","Hemphillian","","10.3","4.9","3510"
"184540","occ","","","18086","Sthenictis","genus","41173","Hemphillian","","10.3","4.9","3510"
"184541","occ","","","18086","Barbourofelis fricki","species","44427","Hemphillian","","10.3","4.9","3510"
"184542","occ","","","18086","Nimravides","genus","41065","Hemphillian","","10.3","4.9","3510"
"184561","occ","","","18087","Aelurodon taxoides","species","43778","Clarendonian","Hemphillian","13.6","4.9","3558"
"184562","occ","","","18087","Paratomarctus euthos","species","45458","Clarendonian","Hemphillian","13.6","4.9","3558"
"184563","occ","","","18087","Epicyon saevus","species","44881","Clarendonian","Hemphillian","13.6","4.9","3558"
"184573","occ","5480","","18089","Pseudocyon","genus","41294","Barstovian","","15.97","13.6","6294"
"184581","occ","5482","","18090","Vespertilionidae","family","40663","Barstovian","","15.97","13.6","3510"
"184590","occ","5487","","18090","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","6294"
"184591","occ","","","18090","Amphicyonidae","family","41266","Barstovian","","15.97","13.6","3510"
"184592","occ","","","18090","Leptarctus primus","species","47534","Barstovian","","15.97","13.6","3510"
"184609","occ","","","18091","Aelurodon taxoides","species","43778","Miocene","","23.03","5.333","3558"
"184610","occ","","","18091","Borophagus secundus","species","44603","Miocene","","23.03","5.333","3558"
"184613","occ","","","18092","Ischyrocyon gidleyi","species","45772","Clarendonian","","13.6","10.3","3510"
"184614","occ","","","18092","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3510"
"184615","occ","","","18092","Cynarctus","genus","41206","Clarendonian","","13.6","10.3","3510"
"184627","occ","","","18093","Felidae","family","41045","Late Hemphillian","","10.3","4.9","6209"
"184628","occ","","","18093","Borophagus hilli","species","49475","Late Hemphillian","","10.3","4.9","3558"
"184629","occ","","","18093","Caninae","subfamily","90655","Late Hemphillian","","10.3","4.9","6209"
"184630","occ","","","18093","Mephitini","tribe","90658","Late Hemphillian","","10.3","4.9","6209"
"184643","occ","","","18094","Caninae","subfamily","90655","Miocene","","23.03","5.333","3221"
"184648","occ","","","18095","Barbourofelis whitfordi","species","46437","Clarendonian","","13.6","10.3","6193"
"184649","occ","","","18095","Cynarctus crucidens","species","45442","Clarendonian","","13.6","10.3","3558"
"184650","occ","","","18095","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"184651","occ","","","18095","Paratomarctus euthos","species","45458","Clarendonian","","13.6","10.3","3558"
"184652","occ","","","18095","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3558"
"184653","occ","","","18095","Pseudocyon","genus","41294","Clarendonian","","13.6","10.3","1977"
"184665","occ","","","18096","Felidae","family","41045","Clarendonian","","13.6","10.3","6207"
"184666","occ","5506","","18096","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"184677","occ","","","18097","Soricidae","family","40443","Hemphillian","","10.3","4.9","6209"
"184679","occ","","","18097","Eptesicus","genus","40671","Hemphillian","","10.3","4.9","6209"
"184693","occ","","","18097","Amphimachairodus coloradensis","species","47842","Hemphillian","","10.3","4.9","6209"
"184694","occ","5515","","18097","Lynx proterolyncis","species","46526","Hemphillian","","10.3","4.9","6294"
"184695","occ","","","18097","Nimravides hibbardi","species","51142","Hemphillian","","10.3","4.9","6209"
"184696","occ","5516","","18097","Borophagus secundus","species","44603","Hemphillian","","10.3","4.9","6294"
"184697","occ","5517","","18097","Eucyon davisi","species","44836","Hemphillian","","10.3","4.9","6294"
"184698","occ","","","18097","Vulpes stenognathus","species","52688","Hemphillian","","10.3","4.9","6209"
"184699","occ","","","18097","Plesiogulo marshalli","species","44674","Hemphillian","","10.3","4.9","6209"
"184700","occ","","","18097","Pliotaxidea nevadensis","species","52090","Hemphillian","","10.3","4.9","6209"
"184701","occ","5518","","18097","Agriotherium schneideri","species","43836","Hemphillian","","10.3","4.9","6294"
"184724","occ","","","18098","Cynarctus crucidens","species","45442","Miocene","","23.03","5.333","3558"
"184738","occ","","","18102","Plionictis ogygia","species","47921","Barstovian","","15.97","13.6","781"
"184761","occ","5535","","18106","Borophaginae","subfamily","83323","Clarendonian","","13.6","10.3","6294"
"184762","occ","","","18106","Leptocyon vafer","species","44886","Clarendonian","","13.6","10.3","3564"
"184788","occ","","","18109","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3558"
"184789","occ","","","18109","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","3558"
"184790","occ","","","18109","Leptocyon vafer","species","44886","Barstovian","","15.97","13.6","3510"
"184791","occ","","","18109","Mionictis","genus","41138","Barstovian","","15.97","13.6","1280"
